PostDate,PostID,City,AgeGroup,Gender,Caption,Hashtags,StylePersona,Likes
2024-11-01,200021,Kathmandu,31-40,Female,Thrift finds this weekend. #kpop #kstyle,#kpop #kstyle,K-Fashion Enthusiast,22
2024-11-01,200022,Kathmandu,20-24,Male,New drop in Kathmandu! #neutral,#neutral,Classic Minimalist,34
2024-11-01,200023,Pokhara,20-24,Non-binary,New drop in Pokhara! #seoulvibes #kpop,#seoulvibes #kpop,K-Fashion Enthusiast,29
2024-11-01,200024,Bharatpur,20-24,Female,Thrift finds this weekend. #neutral,#neutral,Classic Minimalist,16
2024-11-01,200025,Kathmandu,15-19,Male,Layering today: hoodie + jacket. #vintage #indievibes,#vintage #indievibes,Bohemian/Indie,32
2024-11-01,200026,Biratnagar,20-24,Male,Thrift finds this weekend. #capsulewardrobe #cleanfit,#capsulewardrobe #cleanfit,Classic Minimalist,17
2024-11-01,200027,Kathmandu,20-24,Female,New drop in Kathmandu! #oversized,#oversized,American Streetwear,31
2024-11-01,200028,Kathmandu,31-40,Male,Thrift finds this weekend. #cargo #handmade,#cargo #handmade,Bohemian/Indie,33
2024-11-01,200029,Lalitpur,20-24,Female,Thrift finds this weekend. #denim,#denim,American Streetwear,16
2024-11-01,200030,Kathmandu,15-19,Female,Thrift finds this weekend. #boho #handmade,#boho #handmade,Bohemian/Indie,34
2024-11-01,200031,Kathmandu,20-24,Male,New drop in Kathmandu! #nepalstreetstyle,#nepalstreetstyle,American Streetwear,24
2024-11-01,200032,Kathmandu,20-24,Female,New drop in Kathmandu! #oversized #nepalstreetstyle,#oversized #nepalstreetstyle,American Streetwear,31
2024-11-01,200033,Kathmandu,25-30,Male,Thrift finds this weekend. #streetwear #oversized,#streetwear #oversized,American Streetwear,32
2024-11-01,200034,Kathmandu,20-24,Female,Thrift finds this weekend. #oversized,#oversized,American Streetwear,37
2024-11-01,200035,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #streetwear #hoodie,#streetwear #hoodie,American Streetwear,32
2024-11-01,200036,Lalitpur,15-19,Female,Street check in Lalitpur — #nepalakpop #kstyle,#nepalakpop #kstyle,K-Fashion Enthusiast,20
2024-11-01,200037,Kathmandu,15-19,Female,Minimal fit for the office. #oversized #denim,#oversized #denim,American Streetwear,31
2024-11-01,200038,Biratnagar,31-40,Female,Thrift finds this weekend. #seoulvibes,#seoulvibes,K-Fashion Enthusiast,14
2024-11-01,200039,Kathmandu,20-24,Female,Thrift finds this weekend. #kfashion,#kfashion,K-Fashion Enthusiast,19
2024-11-01,200040,Bharatpur,25-30,Female,Street check in Bharatpur — #kfashion #nepalakpop,#kfashion #nepalakpop,K-Fashion Enthusiast,19
2024-11-01,200041,Bharatpur,20-24,Female,Street check in Bharatpur — #cargo,#cargo,Bohemian/Indie,21
2024-11-01,200042,Lalitpur,20-24,Female,Minimal fit for the office. #handmade #indievibes,#handmade #indievibes,Bohemian/Indie,17
2024-11-01,200043,Kathmandu,15-19,Male,New drop in Kathmandu! #boho,#boho,Bohemian/Indie,42
2024-11-01,200044,Kathmandu,20-24,Female,Thrift finds this weekend. #capsulewardrobe #neutral,#capsulewardrobe #neutral,Classic Minimalist,24
2024-11-01,200045,Biratnagar,15-19,Female,New drop in Biratnagar! #streetwear,#streetwear,American Streetwear,20
2024-11-01,200046,Kathmandu,20-24,Female,Thrift finds this weekend. #cargo,#cargo,Bohemian/Indie,26
2024-11-01,200047,Lalitpur,25-30,Female,Minimal fit for the office. #denim #streetwear,#denim #streetwear,American Streetwear,20
2024-11-01,200048,Kathmandu,25-30,Female,Street check in Kathmandu — #capsulewardrobe,#capsulewardrobe,Classic Minimalist,31
2024-11-01,200049,Bharatpur,25-30,Male,Thrift finds this weekend. #nepalstreetstyle,#nepalstreetstyle,American Streetwear,20
2024-11-01,200050,Kathmandu,15-19,Male,Thrift finds this weekend. #capsulewardrobe,#capsulewardrobe,Classic Minimalist,26
2024-11-01,200051,Biratnagar,20-24,Female,Street check in Biratnagar — #nepalstreetstyle,#nepalstreetstyle,American Streetwear,20
2024-11-01,200052,Kathmandu,31-40,Female,Thrift finds this weekend. #kfashion #nepalakpop,#kfashion #nepalakpop,K-Fashion Enthusiast,26
2024-11-01,200053,Kathmandu,25-30,Female,New drop in Kathmandu! #seoulvibes #kstyle,#seoulvibes #kstyle,K-Fashion Enthusiast,28
2024-11-01,200054,Kathmandu,25-30,Female,New drop in Kathmandu! #seoulvibes #nepalakpop,#seoulvibes #nepalakpop,K-Fashion Enthusiast,26
2024-11-01,200055,Kathmandu,25-30,Female,Thrift finds this weekend. #kstyle #seoulvibes,#kstyle #seoulvibes,K-Fashion Enthusiast,23
2024-11-01,200056,Lalitpur,25-30,Female,Minimal fit for the office. #streetwear,#streetwear,American Streetwear,21
2024-11-01,200057,Pokhara,20-24,Male,Layering today: hoodie + jacket. #cleanfit,#cleanfit,Classic Minimalist,13
2024-11-01,200058,Kathmandu,25-30,Male,Minimal fit for the office. #nepalakpop,#nepalakpop,K-Fashion Enthusiast,28
2024-11-01,200059,Biratnagar,15-19,Non-binary,Layering today: hoodie + jacket. #boho #vintage,#boho #vintage,Bohemian/Indie,24
2024-11-01,200060,Biratnagar,20-24,Female,Layering today: hoodie + jacket. #nepalstreetstyle,#nepalstreetstyle,American Streetwear,24
2024-11-01,200061,Biratnagar,15-19,Male,Thrift finds this weekend. #neutral,#neutral,Classic Minimalist,25
2024-11-01,200062,Biratnagar,20-24,Female,Street check in Biratnagar — #indievibes #handmade,#indievibes #handmade,Bohemian/Indie,27
2024-11-01,200063,Kathmandu,20-24,Male,Minimal fit for the office. #seoulvibes,#seoulvibes,K-Fashion Enthusiast,32
2024-11-01,200064,Kathmandu,15-19,Female,New drop in Kathmandu! #kstyle,#kstyle,K-Fashion Enthusiast,24
2024-11-01,200065,Lalitpur,20-24,Female,Street check in Lalitpur — #minimalist,#minimalist,Classic Minimalist,19
2024-11-01,200066,Kathmandu,20-24,Male,Minimal fit for the office. #streetwear #oversized,#streetwear #oversized,American Streetwear,29
2024-11-01,200067,Pokhara,15-19,Male,Street check in Pokhara — #indievibes #handmade,#indievibes #handmade,Bohemian/Indie,16
2024-11-01,200068,Kathmandu,20-24,Female,Layering today: hoodie + jacket. #cleanfit,#cleanfit,Classic Minimalist,36
2024-11-01,200069,Kathmandu,20-24,Female,Minimal fit for the office. #cargo,#cargo,Bohemian/Indie,16
2024-11-01,200070,Kathmandu,25-30,Male,Layering today: hoodie + jacket. #nepalstreetstyle,#nepalstreetstyle,American Streetwear,30
2024-11-01,200071,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #neutral #cleanfit,#neutral #cleanfit,Classic Minimalist,32
2024-11-01,200072,Kathmandu,15-19,Male,Minimal fit for the office. #hoodie #streetwear,#hoodie #streetwear,American Streetwear,28
2024-11-01,200073,Kathmandu,20-24,Male,Minimal fit for the office. #streetwear #hoodie,#streetwear #hoodie,American Streetwear,33
2024-11-01,200074,Kathmandu,20-24,Male,New drop in Kathmandu! #neutral #cleanfit,#neutral #cleanfit,Classic Minimalist,23
2024-11-02,200075,Lalitpur,15-19,Male,Minimal fit for the office. #indievibes #cargo,#indievibes #cargo,Bohemian/Indie,18
2024-11-02,200076,Kathmandu,15-19,Male,Minimal fit for the office. #hoodie,#hoodie,American Streetwear,29
2024-11-02,200077,Kathmandu,25-30,Female,Street check in Kathmandu — #boho,#boho,Bohemian/Indie,27
2024-11-02,200078,Biratnagar,20-24,Female,Minimal fit for the office. #nepalakpop #seoulvibes,#nepalakpop #seoulvibes,K-Fashion Enthusiast,18
2024-11-02,200079,Pokhara,25-30,Male,Street check in Pokhara — #nepalakpop #seoulvibes,#nepalakpop #seoulvibes,K-Fashion Enthusiast,22
2024-11-02,200080,Bharatpur,20-24,Male,Street check in Bharatpur — #vintage #cargo,#vintage #cargo,Bohemian/Indie,20
2024-11-02,200081,Kathmandu,15-19,Male,Street check in Kathmandu — #kfashion #kpop,#kfashion #kpop,K-Fashion Enthusiast,28
2024-11-02,200082,Biratnagar,20-24,Female,Thrift finds this weekend. #cargo #vintage,#cargo #vintage,Bohemian/Indie,23
2024-11-02,200083,Biratnagar,15-19,Female,Street check in Biratnagar — #streetwear #denim,#streetwear #denim,American Streetwear,22
2024-11-02,200084,Kathmandu,15-19,Female,New drop in Kathmandu! #indievibes,#indievibes,Bohemian/Indie,29
2024-11-02,200085,Kathmandu,15-19,Female,Layering today: hoodie + jacket. #oversized,#oversized,American Streetwear,17
2024-11-02,200086,Lalitpur,20-24,Female,New drop in Lalitpur! #cleanfit,#cleanfit,Classic Minimalist,31
2024-11-02,200087,Kathmandu,20-24,Female,Minimal fit for the office. #simplewear #capsulewardrobe,#simplewear #capsulewardrobe,Classic Minimalist,28
2024-11-02,200088,Lalitpur,25-30,Female,Layering today: hoodie + jacket. #cleanfit #minimalist,#cleanfit #minimalist,Classic Minimalist,23
2024-11-02,200089,Kathmandu,15-19,Female,Layering today: hoodie + jacket. #kpop #nepalakpop,#kpop #nepalakpop,K-Fashion Enthusiast,30
2024-11-02,200090,Kathmandu,20-24,Male,Street check in Kathmandu — #kpop,#kpop,K-Fashion Enthusiast,28
2024-11-02,200091,Biratnagar,31-40,Female,Street check in Biratnagar — #hoodie,#hoodie,American Streetwear,18
2024-11-02,200092,Kathmandu,25-30,Female,Street check in Kathmandu — #nepalakpop #kpop,#nepalakpop #kpop,K-Fashion Enthusiast,27
2024-11-02,200093,Kathmandu,15-19,Male,Street check in Kathmandu — #kpop,#kpop,K-Fashion Enthusiast,23
2024-11-02,200094,Pokhara,15-19,Male,Thrift finds this weekend. #cargo #boho,#cargo #boho,Bohemian/Indie,17
2024-11-02,200095,Kathmandu,20-24,Female,Street check in Kathmandu — #nepalakpop,#nepalakpop,K-Fashion Enthusiast,26
2024-11-02,200096,Kathmandu,25-30,Female,New drop in Kathmandu! #simplewear,#simplewear,Classic Minimalist,32
2024-11-02,200097,Pokhara,15-19,Female,Thrift finds this weekend. #streetwear #oversized,#streetwear #oversized,American Streetwear,18
2024-11-02,200098,Kathmandu,20-24,Male,New drop in Kathmandu! #kfashion #nepalakpop,#kfashion #nepalakpop,K-Fashion Enthusiast,29
2024-11-02,200099,Bharatpur,15-19,Male,Minimal fit for the office. #denim,#denim,American Streetwear,19
2024-11-02,200100,Lalitpur,15-19,Male,New drop in Lalitpur! #vintage,#vintage,Bohemian/Indie,17
2024-11-02,200101,Kathmandu,20-24,Female,Minimal fit for the office. #streetwear #nepalstreetstyle,#streetwear #nepalstreetstyle,American Streetwear,27
2024-11-02,200102,Kathmandu,20-24,Male,New drop in Kathmandu! #cargo,#cargo,Bohemian/Indie,32
2024-11-02,200103,Kathmandu,20-24,Male,Street check in Kathmandu — #kstyle,#kstyle,K-Fashion Enthusiast,28
2024-11-02,200104,Kathmandu,20-24,Male,New drop in Kathmandu! #denim,#denim,American Streetwear,36
2024-11-02,200105,Pokhara,20-24,Male,Thrift finds this weekend. #kstyle,#kstyle,K-Fashion Enthusiast,20
2024-11-02,200106,Kathmandu,25-30,Female,Thrift finds this weekend. #hoodie #streetwear,#hoodie #streetwear,American Streetwear,26
2024-11-02,200107,Kathmandu,20-24,Male,New drop in Kathmandu! #indievibes #cargo,#indievibes #cargo,Bohemian/Indie,36
2024-11-02,200108,Kathmandu,20-24,Female,Layering today: hoodie + jacket. #capsulewardrobe,#capsulewardrobe,Classic Minimalist,29
2024-11-02,200109,Pokhara,31-40,Female,Thrift finds this weekend. #minimalist #cleanfit,#minimalist #cleanfit,Classic Minimalist,22
2024-11-02,200110,Bharatpur,20-24,Male,Layering today: hoodie + jacket. #kstyle #kpop,#kstyle #kpop,K-Fashion Enthusiast,15
2024-11-02,200111,Kathmandu,25-30,Male,Thrift finds this weekend. #neutral,#neutral,Classic Minimalist,34
2024-11-02,200112,Lalitpur,20-24,Female,Layering today: hoodie + jacket. #kfashion #seoulvibes,#kfashion #seoulvibes,K-Fashion Enthusiast,17
2024-11-02,200113,Kathmandu,15-19,Male,Thrift finds this weekend. #kstyle,#kstyle,K-Fashion Enthusiast,27
2024-11-02,200114,Lalitpur,20-24,Male,Layering today: hoodie + jacket. #kfashion,#kfashion,K-Fashion Enthusiast,21
2024-11-02,200115,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #cleanfit,#cleanfit,Classic Minimalist,22
2024-11-02,200116,Kathmandu,25-30,Male,New drop in Kathmandu! #hoodie,#hoodie,American Streetwear,26
2024-11-02,200117,Kathmandu,31-40,Male,Minimal fit for the office. #kpop #kfashion,#kpop #kfashion,K-Fashion Enthusiast,41
2024-11-02,200118,Kathmandu,25-30,Female,New drop in Kathmandu! #seoulvibes,#seoulvibes,K-Fashion Enthusiast,29
2024-11-02,200119,Bharatpur,15-19,Female,New drop in Bharatpur! #streetwear #oversized,#streetwear #oversized,American Streetwear,19
2024-11-02,200120,Kathmandu,20-24,Female,Thrift finds this weekend. #vintage,#vintage,Bohemian/Indie,20
2024-11-02,200121,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #cargo #boho,#cargo #boho,Bohemian/Indie,20
2024-11-02,200122,Lalitpur,20-24,Male,Minimal fit for the office. #boho #cargo,#boho #cargo,Bohemian/Indie,21
2024-11-02,200123,Pokhara,31-40,Male,New drop in Pokhara! #simplewear #minimalist,#simplewear #minimalist,Classic Minimalist,18
2024-11-02,200124,Kathmandu,25-30,Female,Minimal fit for the office. #streetwear,#streetwear,American Streetwear,33
2024-11-02,200125,Pokhara,31-40,Male,Street check in Pokhara — #neutral #minimalist,#neutral #minimalist,Classic Minimalist,23
2024-11-02,200126,Bharatpur,15-19,Female,Layering today: hoodie + jacket. #cargo,#cargo,Bohemian/Indie,16
2024-11-02,200127,Bharatpur,20-24,Male,Thrift finds this weekend. #streetwear,#streetwear,American Streetwear,21
2024-11-02,200128,Kathmandu,25-30,Female,New drop in Kathmandu! #minimalist #simplewear,#minimalist #simplewear,Classic Minimalist,29
2024-11-02,200129,Kathmandu,20-24,Female,Street check in Kathmandu — #streetwear,#streetwear,American Streetwear,23
2024-11-02,200130,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #capsulewardrobe #cleanfit,#capsulewardrobe #cleanfit,Classic Minimalist,27
2024-11-02,200131,Kathmandu,15-19,Male,New drop in Kathmandu! #streetwear #hoodie,#streetwear #hoodie,American Streetwear,36
2024-11-02,200132,Kathmandu,25-30,Male,New drop in Kathmandu! #kfashion #nepalakpop,#kfashion #nepalakpop,K-Fashion Enthusiast,28
2024-11-02,200133,Kathmandu,15-19,Male,New drop in Kathmandu! #nepalstreetstyle,#nepalstreetstyle,American Streetwear,30
2024-11-02,200134,Lalitpur,20-24,Female,Minimal fit for the office. #capsulewardrobe,#capsulewardrobe,Classic Minimalist,23
2024-11-02,200135,Kathmandu,25-30,Male,Layering today: hoodie + jacket. #handmade #cargo,#handmade #cargo,Bohemian/Indie,23
2024-11-02,200136,Kathmandu,25-30,Female,Thrift finds this weekend. #seoulvibes,#seoulvibes,K-Fashion Enthusiast,31
2024-11-02,200137,Kathmandu,20-24,Female,Minimal fit for the office. #streetwear #oversized,#streetwear #oversized,American Streetwear,26
2024-11-02,200138,Kathmandu,20-24,Male,Minimal fit for the office. #streetwear #denim,#streetwear #denim,American Streetwear,29
2024-11-02,200139,Pokhara,20-24,Female,New drop in Pokhara! #streetwear,#streetwear,American Streetwear,17
2024-11-02,200140,Lalitpur,20-24,Male,Minimal fit for the office. #handmade #boho,#handmade #boho,Bohemian/Indie,22
2024-11-02,200141,Kathmandu,25-30,Male,Minimal fit for the office. #hoodie,#hoodie,American Streetwear,23
2024-11-02,200142,Kathmandu,15-19,Male,New drop in Kathmandu! #nepalstreetstyle,#nepalstreetstyle,American Streetwear,18
2024-11-02,200143,Kathmandu,20-24,Male,Street check in Kathmandu — #hoodie #denim,#hoodie #denim,American Streetwear,39
2024-11-02,200144,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #boho #indievibes,#boho #indievibes,Bohemian/Indie,33
2024-11-02,200145,Kathmandu,20-24,Female,Street check in Kathmandu — #neutral,#neutral,Classic Minimalist,17
2024-11-02,200146,Kathmandu,31-40,Male,Minimal fit for the office. #handmade #vintage,#handmade #vintage,Bohemian/Indie,38
2024-11-02,200147,Pokhara,15-19,Female,New drop in Pokhara! #kfashion,#kfashion,K-Fashion Enthusiast,18
2024-11-02,200148,Kathmandu,25-30,Female,New drop in Kathmandu! #indievibes #cargo,#indievibes #cargo,Bohemian/Indie,24
2024-11-02,200149,Kathmandu,25-30,Male,Layering today: hoodie + jacket. #hoodie #streetwear,#hoodie #streetwear,American Streetwear,30
2024-11-02,200150,Pokhara,15-19,Male,Street check in Pokhara — #boho,#boho,Bohemian/Indie,11
2024-11-02,200151,Kathmandu,15-19,Male,Layering today: hoodie + jacket. #denim,#denim,American Streetwear,19
2024-11-02,200152,Biratnagar,20-24,Male,New drop in Biratnagar! #seoulvibes #kpop,#seoulvibes #kpop,K-Fashion Enthusiast,19
2024-11-02,200153,Lalitpur,20-24,Male,Street check in Lalitpur — #cleanfit,#cleanfit,Classic Minimalist,15
2024-11-02,200154,Biratnagar,15-19,Female,Thrift finds this weekend. #kpop,#kpop,K-Fashion Enthusiast,24
2024-11-02,200155,Kathmandu,25-30,Male,Street check in Kathmandu — #kpop,#kpop,K-Fashion Enthusiast,42
2024-11-02,200156,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #hoodie,#hoodie,American Streetwear,23
2024-11-02,200157,Lalitpur,25-30,Female,Street check in Lalitpur — #seoulvibes #kfashion,#seoulvibes #kfashion,K-Fashion Enthusiast,22
2024-11-02,200158,Kathmandu,20-24,Male,New drop in Kathmandu! #oversized,#oversized,American Streetwear,29
2024-11-02,200159,Pokhara,20-24,Male,Thrift finds this weekend. #hoodie #oversized,#hoodie #oversized,American Streetwear,22
2024-11-02,200160,Lalitpur,25-30,Male,Thrift finds this weekend. #nepalstreetstyle,#nepalstreetstyle,American Streetwear,18
2024-11-02,200161,Kathmandu,20-24,Male,Minimal fit for the office. #vintage,#vintage,Bohemian/Indie,24
2024-11-02,200162,Bharatpur,15-19,Female,Street check in Bharatpur — #kfashion #seoulvibes,#kfashion #seoulvibes,K-Fashion Enthusiast,16
2024-11-02,200163,Pokhara,20-24,Male,Minimal fit for the office. #hoodie,#hoodie,American Streetwear,27
2024-11-02,200164,Lalitpur,25-30,Male,Street check in Lalitpur — #hoodie #streetwear,#hoodie #streetwear,American Streetwear,20
2024-11-02,200165,Lalitpur,31-40,Female,Minimal fit for the office. #vintage,#vintage,Bohemian/Indie,22
2024-11-02,200166,Pokhara,25-30,Male,Street check in Pokhara — #oversized #denim,#oversized #denim,American Streetwear,14
2024-11-02,200167,Lalitpur,20-24,Male,Street check in Lalitpur — #streetwear,#streetwear,American Streetwear,17
2024-11-02,200168,Kathmandu,25-30,Female,New drop in Kathmandu! #kpop,#kpop,K-Fashion Enthusiast,25
2024-11-02,200169,Kathmandu,15-19,Female,Layering today: hoodie + jacket. #neutral #simplewear,#neutral #simplewear,Classic Minimalist,35
2024-11-02,200170,Kathmandu,20-24,Female,Street check in Kathmandu — #seoulvibes,#seoulvibes,K-Fashion Enthusiast,23
2024-11-02,200171,Kathmandu,20-24,Male,Thrift finds this weekend. #denim,#denim,American Streetwear,24
2024-11-02,200172,Pokhara,20-24,Male,Layering today: hoodie + jacket. #streetwear #denim,#streetwear #denim,American Streetwear,13
2024-11-02,200173,Biratnagar,20-24,Male,Layering today: hoodie + jacket. #hoodie,#hoodie,American Streetwear,24
2024-11-02,200174,Kathmandu,25-30,Male,Minimal fit for the office. #indievibes #cargo,#indievibes #cargo,Bohemian/Indie,27
2024-11-02,200175,Pokhara,31-40,Male,Minimal fit for the office. #seoulvibes #kfashion,#seoulvibes #kfashion,K-Fashion Enthusiast,29
2024-11-02,200176,Kathmandu,15-19,Female,Thrift finds this weekend. #nepalstreetstyle #streetwear,#nepalstreetstyle #streetwear,American Streetwear,44
2024-11-02,200177,Kathmandu,15-19,Male,Minimal fit for the office. #simplewear #capsulewardrobe,#simplewear #capsulewardrobe,Classic Minimalist,34
2024-11-02,200178,Kathmandu,31-40,Female,Layering today: hoodie + jacket. #hoodie #denim,#hoodie #denim,American Streetwear,37
2024-11-02,200179,Kathmandu,20-24,Female,Layering today: hoodie + jacket. #minimalist,#minimalist,Classic Minimalist,33
2024-11-02,200180,Kathmandu,15-19,Female,Minimal fit for the office. #denim #nepalstreetstyle,#denim #nepalstreetstyle,American Streetwear,29
2024-11-02,200181,Lalitpur,20-24,Male,Thrift finds this weekend. #streetwear #oversized,#streetwear #oversized,American Streetwear,25
2024-11-02,200182,Lalitpur,15-19,Male,Layering today: hoodie + jacket. #hoodie #denim,#hoodie #denim,American Streetwear,27
2024-11-02,200183,Kathmandu,20-24,Female,Layering today: hoodie + jacket. #denim #streetwear,#denim #streetwear,American Streetwear,27
2024-11-02,200184,Lalitpur,15-19,Male,Minimal fit for the office. #seoulvibes #kstyle,#seoulvibes #kstyle,K-Fashion Enthusiast,24
2024-11-02,200185,Lalitpur,25-30,Male,Street check in Lalitpur — #simplewear,#simplewear,Classic Minimalist,31
2024-11-02,200186,Kathmandu,25-30,Male,New drop in Kathmandu! #cleanfit #simplewear,#cleanfit #simplewear,Classic Minimalist,29
2024-11-02,200187,Lalitpur,20-24,Male,New drop in Lalitpur! #vintage #cargo,#vintage #cargo,Bohemian/Indie,21
2024-11-02,200188,Kathmandu,25-30,Female,Minimal fit for the office. #seoulvibes,#seoulvibes,K-Fashion Enthusiast,23
2024-11-02,200189,Lalitpur,20-24,Female,New drop in Lalitpur! #seoulvibes,#seoulvibes,K-Fashion Enthusiast,20
2024-11-02,200190,Pokhara,25-30,Female,Minimal fit for the office. #nepalakpop #kpop,#nepalakpop #kpop,K-Fashion Enthusiast,22
2024-11-02,200191,Bharatpur,15-19,Male,New drop in Bharatpur! #oversized,#oversized,American Streetwear,29
2024-11-02,200192,Kathmandu,31-40,Female,New drop in Kathmandu! #simplewear #minimalist,#simplewear #minimalist,Classic Minimalist,24
2024-11-02,200193,Kathmandu,15-19,Male,Layering today: hoodie + jacket. #nepalakpop,#nepalakpop,K-Fashion Enthusiast,23
2024-11-02,200194,Kathmandu,31-40,Male,Street check in Kathmandu — #handmade #cargo,#handmade #cargo,Bohemian/Indie,31
2024-11-02,200195,Lalitpur,25-30,Male,Minimal fit for the office. #kstyle,#kstyle,K-Fashion Enthusiast,24
2024-11-02,200196,Biratnagar,20-24,Female,Layering today: hoodie + jacket. #denim #nepalstreetstyle,#denim #nepalstreetstyle,American Streetwear,25
2024-11-02,200197,Kathmandu,20-24,Male,Layering today: hoodie + jacket. #oversized,#oversized,American Streetwear,29
2024-11-02,200198,Lalitpur,20-24,Male,Street check in Lalitpur — #oversized #denim,#oversized #denim,American Streetwear,19
2024-11-02,200199,Kathmandu,15-19,Male,New drop in Kathmandu! #handmade,#handmade,Bohemian/Indie,32
2024-11-02,200200,Kathmandu,20-24,Male,Thrift finds this weekend. #hoodie,#hoodie,American Streetwear,25
2024-11-02,200201,Kathmandu,25-30,Non-binary,New drop in Kathmandu! #kfashion,#kfashion,K-Fashion Enthusiast,38
2024-11-02,200202,Kathmandu,31-40,Male,Layering today: hoodie + jacket. #boho #indievibes,#boho #indievibes,Bohemian/Indie,29
2024-11-02,200203,Biratnagar,20-24,Male,Layering today: hoodie + jacket. #hoodie #denim,#hoodie #denim,American Streetwear,25
2024-11-02,200204,Kathmandu,15-19,Male,Thrift finds this weekend. #indievibes,#indievibes,Bohemian/Indie,32
2024-11-02,200205,Kathmandu,20-24,Female,Layering today: hoodie + jacket. #nepalstreetstyle,#nepalstreetstyle,American Streetwear,25
2024-11-02,200206,Kathmandu,20-24,Female,Minimal fit for the office. #minimalist,#minimalist,Classic Minimalist,26
2024-11-02,200207,Kathmandu,20-24,Male,Minimal fit for the office. #nepalakpop #kfashion,#nepalakpop #kfashion,K-Fashion Enthusiast,31
2024-11-02,200208,Kathmandu,25-30,Female,New drop in Kathmandu! #nepalakpop #kpop,#nepalakpop #kpop,K-Fashion Enthusiast,23
2024-11-02,200209,Kathmandu,20-24,Female,New drop in Kathmandu! #boho #indievibes,#boho #indievibes,Bohemian/Indie,18
2024-11-02,200210,Kathmandu,25-30,Female,Layering today: hoodie + jacket. #nepalakpop #kstyle,#nepalakpop #kstyle,K-Fashion Enthusiast,31
2024-11-02,200211,Kathmandu,25-30,Non-binary,New drop in Kathmandu! #simplewear,#simplewear,Classic Minimalist,39
2024-11-02,200212,Kathmandu,20-24,Female,Thrift finds this weekend. #kfashion #kstyle,#kfashion #kstyle,K-Fashion Enthusiast,29
2024-11-02,200213,Pokhara,20-24,Male,Minimal fit for the office. #neutral,#neutral,Classic Minimalist,26
2024-11-03,200214,Pokhara,25-30,Male,New drop in Pokhara! #nepalakpop,#nepalakpop,K-Fashion Enthusiast,20
