Date,City,Category,StylePersona,AgeGroup,UnitsSold
2025-01-01,Lalitpur,T-Shirts,American Streetwear,31-40,3
2025-01-01,Lalitpur,T-Shirts,Bohemian/Indie,15-19,2
2025-01-01,Lalitpur,T-Shirts,Bohemian/Indie,20-24,5
2025-01-01,Lalitpur,T-Shirts,Bohemian/Indie,25-30,4
2025-01-01,Lalitpur,T-Shirts,Bohemian/Indie,31-40,2
2025-01-01,Lalitpur,T-Shirts,K-Fashion Enthusiast,25-30,0
2025-01-01,Pokhara,Cargo Pants,American Streetwear,15-19,0
2025-01-01,Pokhara,Cargo Pants,American Streetwear,25-30,0
2025-01-01,Pokhara,Cargo Pants,Bohemian/Indie,20-24,2
2025-01-01,Pokhara,Cargo Pants,Classic Minimalist,25-30,1
2025-01-01,Pokhara,Cargo Pants,Classic Minimalist,31-40,4
2025-01-01,Pokhara,Crop Tops,American Streetwear,15-19,1
2025-01-01,Pokhara,Crop Tops,Bohemian/Indie,25-30,8
2025-01-01,Pokhara,Crop Tops,Classic Minimalist,31-40,0
2025-01-01,Pokhara,Crop Tops,K-Fashion Enthusiast,15-19,0
2025-01-01,Pokhara,Crop Tops,K-Fashion Enthusiast,20-24,5
2025-01-01,Pokhara,Crop Tops,K-Fashion Enthusiast,25-30,3
2025-01-01,Pokhara,Crop Tops,K-Fashion Enthusiast,31-40,2
2025-01-01,Pokhara,Hoodies,American Streetwear,31-40,2
2025-01-01,Pokhara,Hoodies,Bohemian/Indie,25-30,2
2025-01-01,Pokhara,Hoodies,Classic Minimalist,31-40,2
2025-01-01,Pokhara,Hoodies,K-Fashion Enthusiast,25-30,9
2025-01-01,Pokhara,Jackets,Classic Minimalist,20-24,0
2025-01-01,Pokhara,Jackets,K-Fashion Enthusiast,15-19,8
2025-01-01,Pokhara,Pants,American Streetwear,25-30,2
2025-01-01,Pokhara,Pants,Bohemian/Indie,31-40,3
2025-01-01,Pokhara,Pants,Classic Minimalist,15-19,0
2025-01-01,Pokhara,Pants,Classic Minimalist,20-24,2
2025-01-01,Pokhara,Pants,Classic Minimalist,31-40,12
2025-01-01,Pokhara,Pants,K-Fashion Enthusiast,20-24,0
2025-01-01,Pokhara,T-Shirts,American Streetwear,20-24,12
2025-01-01,Pokhara,T-Shirts,American Streetwear,31-40,3
2025-01-01,Pokhara,T-Shirts,Bohemian/Indie,15-19,0
2025-01-01,Pokhara,T-Shirts,Bohemian/Indie,31-40,2
2025-01-01,Pokhara,T-Shirts,Classic Minimalist,15-19,1
2025-01-01,Pokhara,T-Shirts,Classic Minimalist,20-24,1
2025-01-01,Pokhara,T-Shirts,K-Fashion Enthusiast,15-19,11
2025-01-02,Bharatpur,Cargo Pants,American Streetwear,25-30,2
2025-01-02,Bharatpur,Cargo Pants,Classic Minimalist,20-24,0
2025-01-02,Bharatpur,Cargo Pants,K-Fashion Enthusiast,15-19,12
2025-01-02,Bharatpur,Cargo Pants,K-Fashion Enthusiast,20-24,1
2025-01-02,Bharatpur,Cargo Pants,K-Fashion Enthusiast,25-30,2
2025-01-02,Bharatpur,Crop Tops,Bohemian/Indie,15-19,2
2025-01-02,Bharatpur,Crop Tops,Bohemian/Indie,25-30,0
2025-01-02,Bharatpur,Crop Tops,Bohemian/Indie,31-40,4
2025-01-02,Bharatpur,Crop Tops,Classic Minimalist,15-19,6
2025-01-02,Bharatpur,Crop Tops,K-Fashion Enthusiast,31-40,3
2025-01-02,Bharatpur,Hoodies,American Streetwear,25-30,9
2025-01-02,Bharatpur,Hoodies,American Streetwear,31-40,6
2025-01-02,Bharatpur,Hoodies,Bohemian/Indie,20-24,2
2025-01-02,Bharatpur,Hoodies,K-Fashion Enthusiast,15-19,8
2025-01-02,Bharatpur,Hoodies,K-Fashion Enthusiast,20-24,4
2025-01-02,Bharatpur,Jackets,American Streetwear,25-30,6
2025-01-02,Bharatpur,Jackets,American Streetwear,31-40,5
2025-01-02,Bharatpur,Jackets,Bohemian/Indie,20-24,0
2025-01-02,Bharatpur,Jackets,Bohemian/Indie,31-40,0
2025-01-02,Bharatpur,Jackets,Classic Minimalist,20-24,3
2025-01-02,Bharatpur,Jackets,Classic Minimalist,31-40,0
2025-01-02,Bharatpur,Pants,American Streetwear,15-19,0
2025-01-02,Bharatpur,Pants,Bohemian/Indie,25-30,6
2025-01-02,Bharatpur,Pants,Classic Minimalist,31-40,0
2025-01-02,Bharatpur,Pants,K-Fashion Enthusiast,15-19,2
2025-01-02,Bharatpur,Pants,K-Fashion Enthusiast,20-24,0
2025-01-02,Bharatpur,Pants,K-Fashion Enthusiast,25-30,2
2025-01-02,Bharatpur,T-Shirts,American Streetwear,31-40,1
2025-01-02,Bharatpur,T-Shirts,Bohemian/Indie,20-24,1
2025-01-02,Bharatpur,T-Shirts,Bohemian/Indie,31-40,1
2025-01-02,Bharatpur,T-Shirts,Classic Minimalist,25-30,2
2025-01-02,Bharatpur,T-Shirts,K-Fashion Enthusiast,15-19,3
2025-01-02,Biratnagar,Cargo Pants,Bohemian/Indie,15-19,8
2025-01-02,Biratnagar,Cargo Pants,Bohemian/Indie,25-30,7
2025-01-02,Biratnagar,Cargo Pants,K-Fashion Enthusiast,15-19,7
2025-01-02,Biratnagar,Cargo Pants,K-Fashion Enthusiast,25-30,5
2025-01-02,Biratnagar,Cargo Pants,K-Fashion Enthusiast,31-40,1
2025-01-02,Biratnagar,Crop Tops,Classic Minimalist,15-19,1
2025-01-02,Biratnagar,Crop Tops,K-Fashion Enthusiast,15-19,3
2025-01-02,Biratnagar,Crop Tops,K-Fashion Enthusiast,20-24,6
2025-01-02,Biratnagar,Crop Tops,K-Fashion Enthusiast,25-30,6
2025-01-02,Biratnagar,Hoodies,Bohemian/Indie,20-24,3
2025-01-02,Biratnagar,Hoodies,Bohemian/Indie,31-40,2
2025-01-02,Biratnagar,Hoodies,K-Fashion Enthusiast,15-19,1
2025-01-02,Biratnagar,Jackets,American Streetwear,25-30,2
2025-01-02,Biratnagar,Jackets,American Streetwear,31-40,0
2025-01-02,Biratnagar,Jackets,Bohemian/Indie,31-40,0
2025-01-02,Biratnagar,Jackets,Classic Minimalist,20-24,1
2025-01-02,Biratnagar,Jackets,K-Fashion Enthusiast,15-19,5
2025-01-02,Biratnagar,Pants,American Streetwear,20-24,7
2025-01-02,Biratnagar,Pants,Classic Minimalist,31-40,4
2025-01-02,Biratnagar,Pants,K-Fashion Enthusiast,20-24,2
2025-01-02,Biratnagar,Pants,K-Fashion Enthusiast,25-30,4
2025-01-02,Biratnagar,Pants,K-Fashion Enthusiast,31-40,1
2025-01-02,Biratnagar,T-Shirts,American Streetwear,20-24,0
2025-01-02,Biratnagar,T-Shirts,Bohemian/Indie,20-24,0
2025-01-02,Biratnagar,T-Shirts,Bohemian/Indie,25-30,12
2025-01-02,Biratnagar,T-Shirts,Bohemian/Indie,31-40,1
2025-01-02,Biratnagar,T-Shirts,K-Fashion Enthusiast,15-19,3
2025-01-02,Biratnagar,T-Shirts,K-Fashion Enthusiast,25-30,4
2025-01-02,Biratnagar,T-Shirts,K-Fashion Enthusiast,31-40,1
2025-01-02,Kathmandu,Cargo Pants,American Streetwear,25-30,10
2025-01-02,Kathmandu,Cargo Pants,K-Fashion Enthusiast,15-19,12
2025-01-02,Kathmandu,Cargo Pants,K-Fashion Enthusiast,20-24,0
2025-01-02,Kathmandu,Cargo Pants,K-Fashion Enthusiast,25-30,5
2025-01-02,Kathmandu,Crop Tops,American Streetwear,31-40,1
2025-01-02,Kathmandu,Crop Tops,Bohemian/Indie,20-24,5
2025-01-02,Kathmandu,Crop Tops,Bohemian/Indie,31-40,2
2025-01-02,Kathmandu,Crop Tops,Classic Minimalist,25-30,2
2025-01-02,Kathmandu,Hoodies,K-Fashion Enthusiast,20-24,3
2025-01-02,Kathmandu,Hoodies,K-Fashion Enthusiast,31-40,5
2025-01-02,Kathmandu,Jackets,Bohemian/Indie,31-40,7
2025-01-02,Kathmandu,Jackets,Classic Minimalist,15-19,8
2025-01-02,Kathmandu,Jackets,Classic Minimalist,20-24,6
2025-01-02,Kathmandu,Jackets,Classic Minimalist,25-30,8
2025-01-02,Kathmandu,Pants,American Streetwear,25-30,5
2025-01-02,Kathmandu,Pants,American Streetwear,31-40,3
2025-01-02,Kathmandu,Pants,Bohemian/Indie,15-19,0
2025-01-02,Kathmandu,Pants,Bohemian/Indie,20-24,0
2025-01-02,Kathmandu,Pants,Bohemian/Indie,31-40,1
2025-01-02,Kathmandu,Pants,Classic Minimalist,20-24,3
2025-01-02,Kathmandu,Pants,Classic Minimalist,31-40,4
2025-01-02,Kathmandu,Pants,K-Fashion Enthusiast,15-19,2
2025-01-02,Kathmandu,Pants,K-Fashion Enthusiast,25-30,0
2025-01-02,Kathmandu,T-Shirts,American Streetwear,15-19,3
2025-01-02,Kathmandu,T-Shirts,American Streetwear,25-30,1
2025-01-02,Kathmandu,T-Shirts,Bohemian/Indie,31-40,4
2025-01-02,Kathmandu,T-Shirts,Classic Minimalist,20-24,2
2025-01-02,Kathmandu,T-Shirts,Classic Minimalist,25-30,1
2025-01-02,Kathmandu,T-Shirts,Classic Minimalist,31-40,2
2025-01-02,Kathmandu,T-Shirts,K-Fashion Enthusiast,20-24,10
2025-01-02,Lalitpur,Cargo Pants,Classic Minimalist,31-40,1
2025-01-02,Lalitpur,Cargo Pants,K-Fashion Enthusiast,15-19,5
2025-01-02,Lalitpur,Cargo Pants,K-Fashion Enthusiast,20-24,1
2025-01-02,Lalitpur,Crop Tops,Bohemian/Indie,20-24,2
2025-01-02,Lalitpur,Crop Tops,Bohemian/Indie,25-30,0
2025-01-02,Lalitpur,Crop Tops,Classic Minimalist,20-24,4
2025-01-02,Lalitpur,Crop Tops,K-Fashion Enthusiast,25-30,0
2025-01-02,Lalitpur,Hoodies,American Streetwear,31-40,1
2025-01-02,Lalitpur,Hoodies,Bohemian/Indie,15-19,2
2025-01-02,Lalitpur,Hoodies,Bohemian/Indie,25-30,5
2025-01-02,Lalitpur,Hoodies,Bohemian/Indie,31-40,7
2025-01-02,Lalitpur,Hoodies,Classic Minimalist,15-19,5
2025-01-02,Lalitpur,Hoodies,K-Fashion Enthusiast,20-24,0
2025-01-02,Lalitpur,Jackets,Bohemian/Indie,20-24,3
2025-01-02,Lalitpur,Jackets,Bohemian/Indie,25-30,15
2025-01-02,Lalitpur,Jackets,Bohemian/Indie,31-40,7
2025-01-02,Lalitpur,Jackets,Classic Minimalist,15-19,0
2025-01-02,Lalitpur,Jackets,Classic Minimalist,20-24,4
2025-01-02,Lalitpur,Jackets,K-Fashion Enthusiast,31-40,5
2025-01-02,Lalitpur,Pants,Bohemian/Indie,15-19,1
2025-01-02,Lalitpur,Pants,Bohemian/Indie,25-30,3
2025-01-02,Lalitpur,Pants,Bohemian/Indie,31-40,1
2025-01-02,Lalitpur,Pants,Classic Minimalist,15-19,1
2025-01-02,Lalitpur,Pants,Classic Minimalist,20-24,1
2025-01-02,Lalitpur,Pants,K-Fashion Enthusiast,20-24,1
2025-01-02,Lalitpur,T-Shirts,American Streetwear,15-19,0
2025-01-02,Lalitpur,T-Shirts,American Streetwear,20-24,1
2025-01-02,Lalitpur,T-Shirts,American Streetwear,31-40,2
2025-01-02,Lalitpur,T-Shirts,Bohemian/Indie,25-30,13
2025-01-02,Lalitpur,T-Shirts,Classic Minimalist,31-40,5
2025-01-02,Lalitpur,T-Shirts,K-Fashion Enthusiast,15-19,8
2025-01-02,Lalitpur,T-Shirts,K-Fashion Enthusiast,31-40,0
2025-01-02,Pokhara,Cargo Pants,American Streetwear,15-19,1
2025-01-02,Pokhara,Cargo Pants,American Streetwear,20-24,1
2025-01-02,Pokhara,Cargo Pants,Bohemian/Indie,20-24,5
2025-01-02,Pokhara,Cargo Pants,Bohemian/Indie,31-40,1
2025-01-02,Pokhara,Cargo Pants,Classic Minimalist,25-30,2
2025-01-02,Pokhara,Crop Tops,American Streetwear,20-24,2
2025-01-02,Pokhara,Crop Tops,Classic Minimalist,31-40,4
2025-01-02,Pokhara,Crop Tops,K-Fashion Enthusiast,15-19,3
2025-01-02,Pokhara,Hoodies,American Streetwear,15-19,9
2025-01-02,Pokhara,Hoodies,American Streetwear,25-30,0
2025-01-02,Pokhara,Hoodies,Bohemian/Indie,25-30,2
2025-01-02,Pokhara,Hoodies,Bohemian/Indie,31-40,1
2025-01-02,Pokhara,Hoodies,Classic Minimalist,31-40,1
2025-01-02,Pokhara,Hoodies,K-Fashion Enthusiast,25-30,7
2025-01-02,Pokhara,Jackets,American Streetwear,20-24,2
2025-01-02,Pokhara,Jackets,American Streetwear,25-30,4
2025-01-02,Pokhara,Jackets,American Streetwear,31-40,1
2025-01-02,Pokhara,Jackets,Bohemian/Indie,20-24,0
2025-01-02,Pokhara,Jackets,Classic Minimalist,25-30,1
2025-01-02,Pokhara,Jackets,K-Fashion Enthusiast,20-24,0
2025-01-02,Pokhara,Pants,American Streetwear,20-24,1
2025-01-02,Pokhara,Pants,American Streetwear,25-30,0
2025-01-02,Pokhara,Pants,Bohemian/Indie,25-30,2
2025-01-02,Pokhara,Pants,Bohemian/Indie,31-40,2
2025-01-02,Pokhara,Pants,Classic Minimalist,31-40,0
2025-01-02,Pokhara,Pants,K-Fashion Enthusiast,15-19,2
2025-01-02,Pokhara,T-Shirts,American Streetwear,15-19,3
2025-01-02,Pokhara,T-Shirts,American Streetwear,20-24,9
2025-01-02,Pokhara,T-Shirts,Classic Minimalist,31-40,1
2025-01-02,Pokhara,T-Shirts,K-Fashion Enthusiast,31-40,0
2025-01-03,Bharatpur,Cargo Pants,Bohemian/Indie,15-19,0
2025-01-03,Bharatpur,Cargo Pants,K-Fashion Enthusiast,15-19,6
2025-01-03,Bharatpur,Cargo Pants,K-Fashion Enthusiast,20-24,3
2025-01-03,Bharatpur,Cargo Pants,K-Fashion Enthusiast,25-30,0
2025-01-03,Bharatpur,Crop Tops,American Streetwear,20-24,5
2025-01-03,Bharatpur,Crop Tops,American Streetwear,25-30,0
2025-01-03,Bharatpur,Crop Tops,Bohemian/Indie,31-40,0
2025-01-03,Bharatpur,Crop Tops,Classic Minimalist,31-40,2
2025-01-03,Bharatpur,Hoodies,American Streetwear,25-30,1
2025-01-03,Bharatpur,Hoodies,Bohemian/Indie,20-24,1
2025-01-03,Bharatpur,Hoodies,Bohemian/Indie,31-40,2
2025-01-03,Bharatpur,Hoodies,Classic Minimalist,20-24,2
2025-01-03,Bharatpur,Hoodies,K-Fashion Enthusiast,15-19,4
2025-01-03,Bharatpur,Jackets,Bohemian/Indie,15-19,1
2025-01-03,Bharatpur,Jackets,Bohemian/Indie,31-40,0
2025-01-03,Bharatpur,Jackets,Classic Minimalist,31-40,1
2025-01-03,Bharatpur,Jackets,K-Fashion Enthusiast,15-19,1
2025-01-03,Bharatpur,Pants,American Streetwear,15-19,0
2025-01-03,Bharatpur,Pants,American Streetwear,20-24,0
2025-01-03,Bharatpur,Pants,American Streetwear,25-30,1
2025-01-03,Bharatpur,Pants,Bohemian/Indie,25-30,4
2025-01-03,Bharatpur,Pants,Bohemian/Indie,31-40,5
2025-01-03,Bharatpur,Pants,Classic Minimalist,31-40,0
2025-01-03,Bharatpur,Pants,K-Fashion Enthusiast,15-19,12
2025-01-03,Bharatpur,Pants,K-Fashion Enthusiast,20-24,9
2025-01-03,Bharatpur,T-Shirts,American Streetwear,15-19,0
2025-01-03,Bharatpur,T-Shirts,American Streetwear,25-30,3
2025-01-03,Bharatpur,T-Shirts,Bohemian/Indie,25-30,0
2025-01-03,Bharatpur,T-Shirts,Classic Minimalist,15-19,2
2025-01-03,Bharatpur,T-Shirts,Classic Minimalist,20-24,0
2025-01-03,Bharatpur,T-Shirts,Classic Minimalist,25-30,0
2025-01-03,Bharatpur,T-Shirts,Classic Minimalist,31-40,1
2025-01-03,Bharatpur,T-Shirts,K-Fashion Enthusiast,20-24,7
2025-01-03,Bharatpur,T-Shirts,K-Fashion Enthusiast,31-40,0
2025-01-03,Biratnagar,Cargo Pants,American Streetwear,20-24,4
2025-01-03,Biratnagar,Cargo Pants,Bohemian/Indie,15-19,0
2025-01-03,Biratnagar,Cargo Pants,Bohemian/Indie,31-40,7
2025-01-03,Biratnagar,Cargo Pants,K-Fashion Enthusiast,15-19,1
2025-01-03,Biratnagar,Crop Tops,American Streetwear,15-19,5
2025-01-03,Biratnagar,Crop Tops,American Streetwear,20-24,3
2025-01-03,Biratnagar,Crop Tops,American Streetwear,25-30,3
2025-01-03,Biratnagar,Crop Tops,Classic Minimalist,31-40,0
2025-01-03,Biratnagar,Hoodies,American Streetwear,25-30,2
2025-01-03,Biratnagar,Hoodies,Bohemian/Indie,15-19,6
2025-01-03,Biratnagar,Hoodies,Classic Minimalist,25-30,0
2025-01-03,Biratnagar,Hoodies,Classic Minimalist,31-40,3
2025-01-03,Biratnagar,Jackets,American Streetwear,25-30,0
2025-01-03,Biratnagar,Jackets,Bohemian/Indie,20-24,4
2025-01-03,Biratnagar,Jackets,Bohemian/Indie,25-30,2
2025-01-03,Biratnagar,Jackets,Bohemian/Indie,31-40,0
2025-01-03,Biratnagar,Jackets,Classic Minimalist,20-24,3
2025-01-03,Biratnagar,Jackets,Classic Minimalist,31-40,3
2025-01-03,Biratnagar,Pants,American Streetwear,20-24,2
2025-01-03,Biratnagar,Pants,American Streetwear,25-30,1
2025-01-03,Biratnagar,Pants,American Streetwear,31-40,1
2025-01-03,Biratnagar,Pants,Bohemian/Indie,31-40,0
2025-01-03,Biratnagar,Pants,Classic Minimalist,15-19,1
2025-01-03,Biratnagar,Pants,K-Fashion Enthusiast,20-24,1
2025-01-03,Biratnagar,T-Shirts,American Streetwear,15-19,0
2025-01-03,Biratnagar,T-Shirts,American Streetwear,20-24,0
2025-01-03,Biratnagar,T-Shirts,American Streetwear,25-30,1
2025-01-03,Biratnagar,T-Shirts,Bohemian/Indie,20-24,0
2025-01-03,Biratnagar,T-Shirts,Bohemian/Indie,25-30,1
2025-01-03,Biratnagar,T-Shirts,Bohemian/Indie,31-40,7
2025-01-03,Biratnagar,T-Shirts,Classic Minimalist,31-40,1
2025-01-03,Biratnagar,T-Shirts,K-Fashion Enthusiast,15-19,3
2025-01-03,Biratnagar,T-Shirts,K-Fashion Enthusiast,20-24,4
2025-01-03,Kathmandu,Cargo Pants,American Streetwear,15-19,4
2025-01-03,Kathmandu,Cargo Pants,American Streetwear,25-30,2
2025-01-03,Kathmandu,Crop Tops,American Streetwear,20-24,2
2025-01-03,Kathmandu,Crop Tops,Bohemian/Indie,15-19,0
2025-01-03,Kathmandu,Crop Tops,Bohemian/Indie,20-24,3
2025-01-03,Kathmandu,Crop Tops,Bohemian/Indie,25-30,5
2025-01-03,Kathmandu,Crop Tops,Classic Minimalist,20-24,1
2025-01-03,Kathmandu,Crop Tops,K-Fashion Enthusiast,25-30,4
2025-01-03,Kathmandu,Hoodies,Bohemian/Indie,15-19,1
2025-01-03,Kathmandu,Hoodies,K-Fashion Enthusiast,20-24,2
2025-01-03,Kathmandu,Hoodies,K-Fashion Enthusiast,31-40,0
2025-01-03,Kathmandu,Jackets,Bohemian/Indie,25-30,2
2025-01-03,Kathmandu,Jackets,Bohemian/Indie,31-40,9
2025-01-03,Kathmandu,Jackets,Classic Minimalist,15-19,4
2025-01-03,Kathmandu,Jackets,Classic Minimalist,25-30,3
2025-01-03,Kathmandu,Jackets,Classic Minimalist,31-40,2
2025-01-03,Kathmandu,Jackets,K-Fashion Enthusiast,15-19,9
2025-01-03,Kathmandu,Jackets,K-Fashion Enthusiast,20-24,6
2025-01-03,Kathmandu,Pants,American Streetwear,20-24,5
2025-01-03,Kathmandu,Pants,Bohemian/Indie,20-24,2
2025-01-03,Kathmandu,Pants,Classic Minimalist,20-24,4
2025-01-03,Kathmandu,Pants,Classic Minimalist,25-30,7
